Title     : 锟斤拷�⊠是怎样炼成的——中文显示「⼊」门指南【柴知道】
Video ID  : zSstXi-j7Qc
URL       : https://www.youtube.com/watch?v=zSstXi-j7Qc
Language  : Chinese (zh)
Generated : No (manually created)
[06:22.80]  你继续往后看就知道了
[06:24.82]  总而言之
[06:25.60]  随着计算机在全球迅速普及
[06:27.65]  各种字符编码已经乱得不能再乱了
[06:30.02]  人类早晚要解决这个问题
[06:31.87]  而摆在面前的方案有两种
[06:34.12]  第一
[06:40.62]  整个世界清静了
[06:42.57]  让一切归零从头再来
[06:44.77]  书同文 车同轨
[06:47.05]  当然
[06:47.77]  这个方案的代价稍微有那么亿丢丢大了
[06:50.57]  所以人类略微思考了一下
[06:52.22]  还是选择了第二种比较温和的方案
[06:54.87]  我们搞一个超级大的字符集
[06:57.17]  囊括人类世界所有的字符
[06:58.82]  然后编码出来
[06:59.80]  供全世界使用
[07:00.85]  这不就搞定了
[07:02.42]  这个超级大的字符集
[07:04.27]  人类文字编码界的巴别塔
[07:06.45]  就是 Unicode
[07:07.37]  中文名叫万国码或者统一码
[07:10.12]  Unicode 野心很大
[07:11.72]  它一上来就收录了 25 种文字
[07:13.97]  两万八千多个字符
[07:15.55]  其中就包含了 GB 2312 中的
[07:17.37]  六千七百多个简体字
[07:19.37]  为了收纳这么多字符
[07:20.97]  Unicode 决定以书写系统为标准
[07:23.05]  来分类和收录字符
[07:24.50]  这什么意思呢
[07:25.92]  像英语 德语 法语 西班牙语
[07:28.67]  都属于同一套书写系统
[07:30.02]  拉丁字母
[07:31.15]  虽然拉丁字母里的「o」
[07:32.90]  和西里尔字母「о」
[07:34.40]  以及希腊字母「ο」
[07:35.70]  长得几乎一样
[07:37.05]  但既然属于三个不同的书写系统
[07:39.25]  而且过去各地都已经
[07:40.72]  搞出了相应的字符编码
[07:42.25]  为了兼容性
[07:43.30]  就需要安排三个不同的码位
[07:45.42]  至于我们中国的简体字 繁体字
[07:47.72]  以及日本汉字 朝鲜汉字等
[07:49.92]  则被归纳为中日韩统一表意文字
[07:52.85]  由于一些汉字在各地都用
[07:54.67]  只是长得略微有点区别
[07:56.40]  为了节省码位
[07:57.47]  Unicode 就让这些字共用一个码位
[08:00.30]  Unicode 的这种分类收录方式
[08:02.35]  愿望是好的
[08:03.45]  但坑也是挖了不少的
[08:05.50]  比如这串网址
[08:06.67]  它看上去是苹果公司的官网
[08:09.20]  但这个字母
[08:10.05]  根本不是拉丁字母 a
[08:11.77]  而是西里尔字母
[08:13.20]  所以用这种方法
[08:14.50]  就可以轻而易举制作出钓鱼网站
[08:16.37]  诱骗你的帐号和密码
[08:18.45]  在汉字世界也有人利用 Unicode
[08:20.73]  玩出了类似的花招
[08:22.35]  Unicode 中还收录了 214 个康熙部首
[08:25.60]  你看
[08:26.05]  它们跟普通汉字长得几乎一模一样
[08:28.70]  当初 Unicode 收录这些康熙部首
[08:30.72]  是为了方便词典和输入法能给汉字排序
[08:33.90]  并跟中国台湾的中文标准交换码兼容
[08:37.00]  当年就有人担心
[08:37.97]  这些部首跟常用汉字长得太像
[08:40.55]  可能会出显示问题
[08:41.92]  于是 Unicode 把它们列为了兼容字符
[08:44.42]  这样在正常情况下
[08:45.77]  用户很难输入这些部首
[08:47.72]  但人类的聪明才智是用不完的
[08:50.02]  视频开头的这手花活
[08:51.57]  就是利用康熙部首的「⼊」
[08:53.50]  替换了正常的「入」
[08:55.52]  当然 绝大多数中文字体
[08:57.12]  都没有闲工夫去适配这些康熙部首
[08:59.57]  所以你换个字体试一下
[09:00.95]  就会发现它露馅了
[09:02.85]  在诞生后的这些年里
[09:04.45]  Unicode 一直在不断地更新 扩展
[09:06.95]  尽力容纳人类世界的所有字符
[09:09.05]  如今它已经有了 1114112 个码位
[09:12.87]  并平均划分成 17 个平面
[09:14.87]  每个平面都有 65536 个码位
[09:17.82]  在单个平面上
[09:18.87]  再根据具体的用途划分出区块
[09:20.97]  区块相当于把同类字符放到一起
[09:23.15]  以方便检索和补充
[09:25.52]  GB 2312 中的六千七百多个常用的简体字
[09:28.82]  一大堆你不认识的汉字
[09:30.47]  陕西 biángbiáng 面的 biáng
[09:32.27]  你用的 emoji 表情
[09:33.82]  都已经被收纳进了 Unicode 字符集中
[09:36.27]  其中甚至还有为各个国家 地区
[09:38.59]  甚至企业准备的「私用区」
[09:40.54]  可以供大家自定义使用
[09:44.95]  只有用 macOS、iOS 等
[09:46.75]  苹果操作系统的朋友才能看见这个字符
[09:49.45]  而 Windows 和 Android 拒绝显示
[09:54.32]  《星际迷航》的粉丝们
[09:55.70]  还把克林贡文字放进了私用区
[09:58.00]  只要你装了这些相关的软件和字体
[10:00.10]  就能输入和显示克林贡语
[10:02.77]  如今
[10:03.42]  大一统的 Unicode 已经成为了
[10:05.12]  计算机科学领域最常用的字符集
[10:07.32]  但是
[10:07.97]  文字显示的乱纪元
[10:09.57]  并没有随着 Unicode 的出现而结束
[10:12.77]  Unicode 虽然号称统一码
[10:14.75]  但一统江湖哪有这么简单
[10:16.60]  毕竟各个国家都有各个国家的具体情况嘛
[10:19.70]  作为一个超级庞大的字符集
[10:21.50]  Unicode 也需要让这些
[10:22.92]  海量的字符排排坐
[10:24.17]  然后进行编码
[10:25.22]  转换成二进制的 0 和 1
[10:27.17]  曾经大多数字符集
[10:28.62]  都只有一种编码方式
[10:30.42]  而超级无敌大的 Unicode 字符集
[10:32.37]  有很多种编码方式
[10:34.17]  你在一些文档软件里看到的
[10:35.52]  UTF-8、UTF-16、UTF-32 等
[10:38.92]  都是把 Unicode 字符集中的字符
[10:40.90]  转换成二进制信息的编码方式
[10:43.52]  目前最常用的
[10:44.87]  是 UTF-8 编码
[10:46.17]  我国一些政府机关进行信息化建设时
[10:48.92]  也会要求文档应使用 UTF-8 编码存储
[10:52.32]  编码很重要
[10:53.47]  因为即使是同一串二进制数字
[10:55.60]  在不同的字符集和编码方式下
[10:57.90]  也会对应不同的字符
[10:59.50]  所以如果用错误的编码打开文本
[11:01.70]  乱码就来了
[11:03.45]  你还记得之前讲到的
[11:05.00]  微软为了容纳各种汉字搞出来的
[11:07.05]  GBK 字符集和编码吧
[11:08.75]  在中文世界里
[11:09.95]  GBK 和 Unicode
[11:10.97]  都有很多的使用者
[11:12.77]  而当 GBK 与 Unicode 激情碰撞之后
[11:15.70]  噩梦般的上古神器
[11:17.05]  「锟斤拷」就诞生了
[11:19.97]  你看啊
[11:20.77]  当你写出这段文字
[11:22.02]  点击保存
[11:23.95]  此时它们就被按照 GBK 编码
[11:26.10]  存储成了这套二进制数字
[11:28.15]  然后你把这份文档发给了心爱的人
[11:30.60]  她用最常见的 UTF-8 编码打开
[11:33.55]  此时软件就懵逼了
[11:35.25]  因为它会发现这些东西根本无法正常显示
[11:38.77]  此时 Unicode 就会用这个替换符号 �
[11:41.25]  来展示所有无法正确显示的字符
[11:43.82]  这时她也懵逼了
[11:44.95]  心想算了
[11:45.89]  保存一下发给室友
[11:46.95]  让她帮忙打开吧
[11:48.27]  在她点击保存的那一瞬间
[11:50.47]  文档中所有的 � 字符
[11:52.00]  就被根据 UTF-8 编码
[11:53.65]  编码为了 0xEF BF BD
[11:57.12]  而收到这份文件的大冤种室友
[11:59.67]  再次使用 GBK 编码打开了这份文档
[12:02.32]  此时根据 GBK 编码规则
[12:04.22]  如果有连续两个问号
[12:05.77]  那么 EFBF、BDEF、BFBD 这三个码位对应的
[12:09.85]  正是「锟斤拷」三个字
[12:11.87]  也就是说
[12:12.85]  连续两个问号
[12:13.87]  就对应了一个「锟斤拷」
[12:15.15]  一串问号
[12:15.90]  就对应了满屏的「锟斤拷」
[12:18.15]  经过这套行云流水的操作
[12:19.95]  你的爱已经完全找不回来了
[12:21.90]  坍缩成了无穷无尽的「锟斤拷」
[12:25.07]  而在中文世界里
[12:26.22]  GBK 编码和 Unicode 都非常常见
[12:28.92]  比如 Win 7、Win 8
[12:30.27]  以及 Win 10 较早期的中文版中
[12:32.42]  它们自带的记事本
[12:33.75]  用的就是所谓的 ANSI 编码
[12:35.92]  ANSI 在不同语言系统中
[12:37.42]  所代指的实际编码不同
[12:39.22]  在简体中文系统中
[12:40.27]  它就是 GBK 编码
[12:42.55]  而 Mac 上的文本编辑
[12:44.00]  以及一大堆其他软件
[12:45.45]  默认用的是 UTF-8 编码
[12:47.50]  所以你一不小心
[12:48.40]  就能搞出一份乱码文件
[12:50.30]  以至于像 Word 这样的软件都学刁了
[12:52.55]  还经常会在打开时让你玩猜猜看
[12:55.15]  请你猜一猜
[12:56.10]  这份文档到底是什么编码呀
[12:58.55]  而「锟斤拷」还不是最离谱的
[13:00.75]  我们可以给你展示一个更灵异的现象
[13:03.17]  没错
[13:04.10]  你拿一台安装了 Win 7 的电脑
[13:05.62]  也可以轻松地重现这个 bug
[13:07.62]  当你敲下「联通」两个字时
[13:09.72]  它就被记事本按照默认的 GBK 编码
[13:12.12]  编成了这串二进制数字
[13:14.27]  而当你再次打开它时
[13:15.87]  记事本会觉得 哎
[13:17.37]  这串二进制数字的开头
[13:19.37]  长得跟 UTF-8 编码的文件很像嘛
[13:21.92]  这题我会
[13:23.35]  于是就用 UTF-8 编码打开了它
[13:25.57]  显示出乱码
