Title     : 医保怎么用最省钱？2023最清晰实用医保指南，适配全国！【柴知道】
Video ID  : USPEabsWr7M
URL       : https://www.youtube.com/watch?v=USPEabsWr7M
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 515
Saved at  : 2026-06-05 13:44:49
------------------------------------------------------------

[11:01.27]  利用医保报销这件事的流程
[11:03.35]  基本已经清楚了
[11:04.85]  我们总结一下
[11:06.25]  首先 带上医保卡
[11:08.25]  然后去你自己选的医保定点医院
[11:10.95]  或者其他不用选也能报销的医院
[11:13.12]  拿医保卡挂号
[11:15.10]  如果你花的钱 还没有到起付线
[11:17.50]  那就需要用现金
[11:18.87]  或者职工医保里个人账户的钱结账
[11:21.62]  如果达到起付线了
[11:23.10]  那么去的医院越小
[11:24.62]  报销比例越高
[11:26.07]  具体能报销多少
[11:27.25]  大部分情况下系统都会自动计算
[11:29.80]  你最后付的钱
[11:30.87]  无论是划医保卡还是现金
[11:33.12]  都已经是报销后的结果了
[11:35.55]  这就是我们大部分普通人用医保
[11:37.77]  最最常规的流程
[11:41.67]  那么接下来
[11:42.42]  我们会简要地介绍一些特殊情况
[11:44.77]  涉及学生 慢性病
[11:46.40]  异地转诊 和大病医保
[11:48.82]  首先 如果你是大学生
[11:50.75]  通过校医院转诊去校外看病
[11:53.17]  那无法在系统中直接计算报销
[11:55.57]  需要你自己先垫付
[11:57.22]  然后留好病历 发票
[11:58.75]  找医保局或者学校的校医院
[12:00.40]  手动申请报销
[12:02.27]  异地就医的话
[12:03.45]  记得在微信或支付宝上
[12:05.27]  提交异地就医申请之后
[12:07.35]  在外地看病也能报销
[12:09.30]  但是有些时候不能直接报销
[12:11.40]  那就需要你自己留好病历 发票
[12:13.27]  先垫付 回头再找医保局报销
[12:16.47]  如果你有慢性病的话
[12:17.95]  那要记得去做门诊慢特病备案
[12:20.52]  就能在之后的治疗中报销更多
[12:22.47]  差不多是能在门诊治疗
[12:24.35]  而按照住院的比例来结算
[12:26.35]  具体怎么备案 在你们城市的
[12:28.27]  医保公众号里面就能查到流程
[12:30.95]  最后 如果你看病真的花了很多钱
[12:33.87]  那可能还能再报销一轮
[12:35.92]  因为你每年交的保费里
[12:37.72]  还含有一项大病医保的保险
[12:40.00]  也叫二次报销
[12:41.62]  请注意啊
[12:42.27]  它虽然叫大病医保
[12:44.27]  但是不限制病的具体种类
[12:46.37]  只看具体看病花费的金额
[12:48.95]  花的多 就算有大病
[12:51.05]  如果病人在医保报销后
[12:52.97]  个人自费的部分
[12:54.35]  超过了大病医保的起付线
[12:56.42]  就可以去申请二次报销
[12:59.10]  用医保看病报销这件事
[13:00.90]  到此为止 就讲得差不多了
[13:03.45]  但是你看进度条
[13:04.75]  还剩一截对吧
[13:06.05]  因为除了看病以外
[13:07.50]  医保还有其他用处
[13:09.15]  可以买药 打疫苗 买商业保险
[13:11.82]  甚至还可以匀给家人用
[13:13.92]  这些都是能帮你
[13:14.97]  实实在在省钱的用法
[13:16.82]  如果你自己去医院花钱少
[13:18.67]  那一定要继续往下看
[13:20.82]  先说买药
[13:21.90]  大家印象中就是
[13:23.25]  只有在医院买药才能报销
[13:25.32]  但是近两年 各地也在尝试
[13:27.42]  把药店买药也纳入门诊统筹
[13:30.25]  也就是说 在开始试点的地方
[13:32.57]  拿着医院的处方去药房买药
[13:34.92]  也会累计进今年的门诊费用
[13:36.97]  达到起付线就能和门诊一样报销
