Title     : 别再问我什么是AI：10分钟速通AI黑话，这次终于能看懂AI新闻了【柴知道】
Video ID  : G4rBAWNYNsQ
URL       : https://www.youtube.com/watch?v=G4rBAWNYNsQ
Language  : Chinese (zh)
Generated : No (manually created)
[08:23.80]  就跟我们这些科普博主一样
[08:26.20]  如果要给大模型注入灵魂
[08:28.28]  那就要进入“后训练”中
[08:29.60]  最重要的一步
[08:30.48]  强化学习
[08:31.52]  RL（Reinforcement Learning）
[08:32.92]  通过强化学习
[08:33.96]  大模型输出的答案
[08:35.16]  会更符合人类偏好
[08:36.92]  甚至展现出超越人类的“智力”
[08:39.84]  “强化学习”的具体方法很多
[08:41.48]  其中一些思路既简单
[08:43.16]  又巧妙
[08:44.28]  我们可以用
[08:44.88]   Deepseek 的 GRPO 方案
[08:46.60]  来感受一下
[08:47.96]  首先我们可以给定一个问题
[08:49.72]  让 AI 生成几十个不同的解决方案
[08:52.20]  并给出答案
[08:53.48]  这些答案有对有错
[08:54.76]  其中答错的方案直接扔掉
[08:56.40]  拒绝采样
[08:57.64]  答对的那些解决方案
[08:59.04]  大概率更合理
[09:00.60]  于是我们可以把它们再喂给 AI
[09:02.36]  让它们模仿这些方案
[09:03.76]  继续生成解决思路和答案
[09:05.88]  然后再根据答案对错
[09:07.24]  继续筛选解决思路
[09:08.36]  再喂给 AI
[09:09.64]  这样反复训练
[09:10.72]  就能提高 AI 输出正确答案的能力
[09:13.68]  甚至偶尔能涌现出
[09:15.12]  一些在人工数据集之外
[09:17.12]  连人类自己
[09:18.12]  都未曾设想过的解决方案
[09:19.84]  达成一种“超越人类”的效果
[09:22.44]  是不是非常巧妙
[09:23.80]  但它也不是万能的
[09:25.56]  比如一个问题
[09:26.44]  没有标准清晰的答案
[09:27.84]  比如写文章
[09:28.64]  写诗
[09:29.76]  那大模型怎么知道哪个答案更好呢
[09:32.16]  这时候
[09:32.92]  又得用到数据标注员了
[09:34.80]  在强化学习中
[09:35.84]  数据标注员的任务
[09:37.12]  是给 AI 生成的答案
[09:38.36]  按他们的判断排序
[09:40.08]  把好的排在前面
[09:41.28]  差的排在后面
[09:42.44]  当然
[09:43.16]  数据标注员
[09:44.08]  无法给无穷无尽的回答排序
[09:46.28]  所以我们还要根据他们的排序偏好
[09:48.40]  训练出一个 “奖励模型”
[09:50.32]  RM
[09:50.76]  来给 AI 打分
[09:52.16]  然后把 AI 生成的答案
[09:53.64]  交给奖励模型
[09:55.00]  这样就可以让大模型
[09:56.24]  根据奖励模型的反馈
[09:57.68]  不断地训练自己了
[09:59.04]  这种方式叫做 RLHF
[10:01.56]  基于人工反馈的强化学习
[10:03.92]  从监督微调时的数据集编写
[10:05.68]  到 RLHF 中给答案排序
[10:07.80]  都需要数据员的参与
[10:09.64]  所以从某种角度来说
[10:11.00]  一个大模型的“个性”
[10:12.40]  能反应它背后的人类标注员们的偏好
[10:15.28]  所以你谈的那些 AI 女友
[10:16.88]  背后
[10:17.48]  可能是跟你有共同爱好的的大汉
[10:21.16]  总而言之
[10:21.88]  目前后训练中的“强化学习”
[10:24.04]  是各家技术团队
[10:25.24]  发力比拼的重要方向
[10:26.96]  大模型中很多让人惊叹的功能
[10:29.04]  都跟它有关
[10:30.68]  比如 DeepSeek R1 发布后
[10:32.08]  大家都震惊于它能展示详尽的 CoT
[10:35.28]  思维链
[10:36.56]  而根据官方论文
[10:37.60]  CoT 的出现
[10:38.64]  是因为团队
[10:39.56]  在后训练中的监督微调阶段
[10:41.72]  特意喂了 60 万条推理数据
[10:44.04]  然后又通过我们刚才说的这套 
[10:45.76]  GRPO 的强化学习流程
[10:47.80]  引导大模型自己筛选有效思路
[10:50.04]  最终实现了强大的推理能力
[10:53.08]  ok
[10:53.60]  经过预训练
[10:54.68]  后训练
[10:55.20]  包括强化学习阶段
[10:56.84]  一个完整的大模型
[10:58.28]  终于可以做出来了
[11:00.08]  我们整个框架的讲解
[11:01.44]  也已经接近尾声
[11:02.80]  如果有些内容没记住也没关系
