Title     : AI 暴击搜索引擎：我活不活无所谓，我只要你死【柴知道】
Video ID  : xe-MWx7vE2k
URL       : https://www.youtube.com/watch?v=xe-MWx7vE2k
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 299
Saved at  : 2026-06-05 13:33:55
------------------------------------------------------------

[07:12.33]  连访问速度都变慢了
[07:13.77]  导致开发者痛斥大模型的爬虫
[07:16.00]  就像一场瘟疫
[07:18.33]  包括我们在内的所有内容创作者
[07:20.37]  都面临着跟这些网站一样的困境
[07:23.60]  比如我们试着用 AI 搜索
[07:25.10]  问了我们前几期视频的问题
[07:27.00]  搜索结果中大部分
[07:28.20]  来源于我们的内容
[07:29.20]  AI  总结得也很好
[07:31.17]  只是这样一来
[07:32.13]  各位就不用看我们的视频了
[07:34.13]  AI 搜索不光暴打了传统搜索引擎
[07:37.00]  也暴打了我们
[07:39.03]  为了避免自己被 AI 吃干抹净
[07:41.00]  根据 Originality.AI 的数据
[07:43.50]  目前全网排名前 1000 的网站中
[07:45.97]  有差不多 30% 都拒绝了
[07:47.90]  ChatGPT 的爬虫
[07:49.33]  而且不管是哪家 AI 的爬虫
[07:51.50]  都被越来越多的网站阻拦在外
[07:54.50]  那怎么办呢
[07:56.03]  得加钱
[07:57.73]  比如 Perplexity 和 OpenAI 
[07:59.50]  都已经跟一些媒体达成协议
[08:01.50]  如果生成结果中
[08:02.77]  引用了人家的内容
[08:03.93]  就给创作者分一点钱
[08:05.83]  但我们这样的小作者也达不到
[08:07.93]  美联社 时代杂志的高度
[08:09.73]  未来能不能拿到钱
[08:11.83]  你猜
[08:13.90]  如果它们只能成为 AI 的食物
[08:15.80]  逐步凋零
[08:16.97]  那我们的看到的信息到底是变多了
[08:19.57]  还是变窄了
[08:22.03]  最后 如果我们回忆互联网
[08:24.00]  搜索引擎
[08:24.73]  以及社交网络诞生之初
[08:26.73]  它们也曾是现代文明的巴别塔
[08:29.23]  人们期待通过开放的协议
[08:30.93]  自由的链接
[08:32.07]  共同编织一个属于全世界的
[08:34.20]  信息和知识网络
[08:36.21]  但几十年之间
[08:37.31]  互联网被圈地跑马 四分五裂
[08:40.00]  社交网络乌烟瘴气
[08:41.80]  搜索引擎也活成了
[08:43.17]  它未曾想过的样子
[08:45.12]  它们终将倾塌
[08:46.39]  但不是现在
[08:48.33]  因为另一座承载希望的新灯塔
[08:50.59]  还没有完工
[08:51.86]  砸烂一套旧秩序绝不容易
[08:53.83]  但建立一个新世界还要更难
[08:56.36]  未来注定属于 AI 
[08:57.96]  但它会建成灯塔 还是熔炉
[09:00.73]  会不会是你初见时希望的样子
[09:04.43]  难说
[09:06.86]  你这篇稿子写的文采飞扬啊
[09:08.89]  对 AI 的思考非常深刻
[09:11.38]  就是这个文字
[09:13.57]  怎么看有一股 AI 味呢
[09:15.98]  你不会是
