Title     : 医保DRG改革来了！它能让你安心看病吗？【柴知道】
[06:27.88]  跟 DRG 有所区别
[06:29.52]  但本质跟 DRG 一样
[06:31.08]  都是“按病种付费”
[06:33.12]  但 DIP 的分组数量更精细
[06:35.28]  它基于患者住院治疗的真实经历
[06:37.28]  把每一种病和治疗方式随机组合
[06:39.96]  穷举出一系列 DIP 病种组合
[06:42.68]  在 2020 年我国发布的
[06:44.08]  第一版《DIP 目录库》中
[06:45.56]  一共有 14052 种组合
[06:48.04]  比如同样是阑尾炎手术
[06:49.36]  只要没出现并发症
[06:50.64]  在 DRG 里就只有这一个分组
[06:53.00]  但在第一版《DIP 目录库》中
[06:54.64]  就分出了 37 种
[06:56.20]  都是根据真实病例总结出来的
[06:58.04]  总有一款适合你
[07:00.00]  DIP 也已经在广州 淮安等地
[07:01.92]  试行了多年
[07:02.68]  控费效果同样出色
[07:04.40]  比如淮安在 
[07:05.48]  2000–2003 医保制度实行之初
[07:07.64]  当地医保施行单纯的按项目付费
[07:10.36]  结果连年赤字
[07:11.44]  收不抵支
[07:12.60]  但从 2004 年开始试行
[07:14.32]  “点数付费法”后
[07:15.72]  次均住院费用
[07:16.56]  下降了 20% 多
[07:18.16]  后来“点数付费法”
[07:19.40]  便逐渐演变成如今的 DIP
[07:22.12]  当然
[07:22.84]  DRG 要面对的一些问题
[07:24.56]  DIP 也同样要面对
[07:27.43]  目前我国大部分地区
[07:28.55]  都已经开始了
[07:29.55]  DRG/DIP 支付方式改革
[07:31.39]  各地方可以根据
[07:32.35]  当地的实际情况二选一
[07:34.51]  到 2025 年
[07:35.39]  我国所有可以住院的医院
[07:37.43]  都要采用 DRG 
[07:38.51]  或者 DIP 的支付方式
[07:40.31]  它们的目标
[07:41.07]  是避免医保基金被白白浪费
[07:43.19]  让医保帮助到更多的人
[07:45.85]  如果你看到了这里
[07:47.47]  相信你一定是一个
[07:48.67]  关心社会的好人
[07:50.23]  那你肯定明白
[07:51.27]  医保是一个覆盖极广
[07:52.87]  利益巨大
[07:53.55]  影响每一个人的复杂系统
[07:55.63]  不可能有完美
[07:56.63]  毫无缺陷的管理方案
[07:58.55]  DRG/DIP  也同样还在演进之中
[08:01.15]  相信它们在未来会更好
[08:03.84]  那感谢各位给我们
[08:04.71]  提供信息的医生朋友
[08:06.07]  希望这期视频
[08:07.11]  能让你更好地了解
[08:08.27]  医疗系统的运转方式
[08:10.11]  也欢迎你在评论区里
[08:11.55]  分享自己的经历 观点
[08:13.43]  我们真诚地希望
[08:14.51]  能通过理性的讨论
[08:16.31]  给我们的医疗系统
[08:17.27]  提供更多实用的建议
[08:18.83]  让我们的医疗系统
[08:19.67]  变得更棒
[08:20.63]  更完善
[08:22.07]  下期见
