Title     : 2000的跑鞋比200的好吗？什么样的跑鞋最适合你？【柴知道】
[06:35.07]  今天我们一共就跑 6 圈
[06:37.37]  一圈 400 米
[06:38.53]  6 圈一共才 2.4 公里
[06:40.63]  3 公里都不到
[06:41.63]  所以肯定是能够
[06:43.13]  非常简单就跑完的
[06:44.50]  而且跑完之后大家肯定觉得
[06:45.57]  明天工作也更有精力
[06:47.37]  好吧
[06:50.53]  人呢
