Title     : 明明白白买基金，清清楚楚亏大钱：10分钟基金入门指南【柴知道：人生大题】
Video ID  : r4I9aujFxEM
URL       : https://www.youtube.com/watch?v=r4I9aujFxEM
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 440
Saved at  : 2026-06-05 13:38:28
------------------------------------------------------------

[08:15.10]  要付“申购费”
[08:15.89]  持有的时候要付
[08:16.77]  “管理费”“托管费”
[08:17.65]  和“销售服务费”
[08:18.69]  卖出的时候要付“赎回费”
[08:20.18]  而且请注意
[08:21.21]  就算你的基金赔了
[08:22.65]  这些费用也都会正常扣
[08:24.77]  相当于花钱雇人帮你亏钱
[08:27.33]  刺激不刺激
[08:29.06]  不同基金的具体费率
[08:30.21]  有高有低
[08:30.94]  一般来说
[08:31.81]  因为“主动基金”
[08:32.89]  需要基金经理帮你选股
[08:34.62]  深度参与
[08:35.58]  所以费率会更高
[08:37.13]  而“指数基金”的费率
[08:38.38]  就会更低一些
[08:39.98]  其中买入时的“申购费”
[08:41.46]  一般是一口价
[08:42.89]  比如你花 10000 块钱
[08:44.01]  买一支申购费率
[08:45.16]  为 1.5% 的主动基金
[08:46.86]  那申购费大概就是 150 块钱
[08:49.17]  实际只有 9850 多块
[08:51.36]  能拿去买基金
[08:52.80]  有时候为了吸引你投钱
[08:54.32]  申购费会打折或者免除
[08:56.88]  而卖出时“赎回费”的费率
[08:58.52]  通常与持有时间有关
[09:00.36]  持有时间越长
[09:01.52]  赎回费率越低
[09:02.92]  如果你总是今天买明天卖
[09:04.64]  那赚点钱还不够交手续费的
[09:07.40]  而持有费用中
[09:08.52]  最贵的“管理费”
[09:09.64]  也跟持有时间有关
[09:11.16]  一支主动基金的管理费
[09:12.52]  一般能到每年 1%–1.5%
[09:15.48]  指数基金 债券型基金
[09:17.04]  货币型基金等
[09:18.12]  就相对来说低一些
[09:20.12]  顺便说一句
[09:21.04]  管理费是基金公司
[09:22.28]  收入的主要来源
[09:23.68]  不管你是亏是赚
[09:25.04]  它都是每天扣除的
[09:26.68]  所以你可以亏
[09:27.68]  但基金公司绝不会亏
[09:30.44]  在你买基金的时候
[09:31.56]  经常会发现同一支基金
[09:33.44]  后面却标了
[09:34.28]  “A”和“C”两个字母
[09:35.72]  这就跟费率有关
[09:37.48]  这两个产品本质上
[09:38.88]  完全相同
[09:39.84]  唯一的区别
[09:40.51]  就是费率设计不同
[09:42.00]  具体区别放在这里
[09:43.36]  一般来说
[09:44.20]  如果你计划长期持有
[09:46.00]  那更适合买 A 类基金
[09:47.84]  想玩玩就跑
[09:48.76]  适合买 C 类基金
[09:50.68]  你可能觉得
[09:51.53]  自己财大气粗
[09:52.88]  咱都玩金融了
[09:54.28]  还需要考虑这些手续费吗
[09:56.84]  怎么讲呢
[09:57.64]  我们这些韭菜吧
[09:58.90]  总资金的年化收益
[10:00.40]  能稳定达到 5% 
[10:01.96]  就谢天谢地
